providers,urc_code,urc_cat,metric,rank,n_tracts,n_counties,n_missing,pop,mean,pop_weighted_mean,sd,p025,p250,median,p750,p975,min,max
All,99,All,driving_time,1,73054,3142,0,321003156,10.687494593040764,9.962929999323745,15.886141188821806,0.86,2.94,5.31,11.59,51.58675000000002,0,957.47
All,1234,Urban (1-4),driving_time,1,60889,1166,0,274909824,7.444316214751433,7.545051226761543,9.470562077347477,0.81,2.67,4.6,8.3,32.41,0,311.23
All,1,Large central metro (1),driving_time,1,22671,68,0,98876565,4.208895064178907,4.463953799568179,4.39748445766661,0.63,1.97,3.25,5.16,13.1425,0,153.16
All,2,Large fringe metro (2),driving_time,1,16595,368,0,79764236,7.905540222958723,7.930919449162655,8.199854339357987,1.1,3.29,5.39,9.29,29.99,0,161.75
All,3,Medium metro (3),driving_time,1,14971,372,0,66957575,9.430957851846903,9.466850596665127,11.270461368990183,0.98,3.33,5.86,11.25,38.127500000000005,0,311.23
All,4,Small metro (4),driving_time,1,6652,358,0,29311448,12.849338544798556,12.498433967506484,15.073620327692701,1.16,3.89,7.72,16.572499999999998,48.91124999999986,0,264.31
All,56,Rural (5-6),driving_time,1,12165,1976,0,46093332,26.92044882860666,24.383641173304635,27.395404006868667,1.9,8.96,20.75,36.02,92.49299999999994,0,957.47
All,5,Micropolitan (5),driving_time,1,6653,641,0,27214881,19.822534195099955,19.06433846247573,19.892527865854227,1.643,6.26,14.83,26.4,69.59399999999991,0.06,323.02
All,6,Non-core (6),driving_time,1,5512,1335,0,18878451,35.48765239477503,32.051865132896765,32.32129724335043,2.6955,16.3575,29.13,46.13250000000001,110.94249999999973,0,957.47
All,99,All,driving_time,2,73036,3134,0,320954238,13.43116914946054,12.534095371938974,19.3606790656904,1.38,3.93,6.84,15.01,62.27125000000001,0,959.87
All,1234,Urban (1-4),driving_time,2,60882,1165,0,274899641,9.123097795736014,9.276033049421116,10.579811057685406,1.29,3.59,5.91,10.34,36.938999999999936,0,312.16
All,1,Large central metro (1),driving_time,2,22671,68,0,98876565,5.284072162674783,5.596798209464498,5.237625973938334,1.03,2.66,4.22,6.41,15.5625,0,211.65
All,2,Large fringe metro (2),driving_time,2,16595,368,0,79764236,9.756141608918348,9.828064531703156,9.137674789423336,1.77,4.37,6.87,11.655000000000001,34.742999999999995,0,163.09
All,3,Medium metro (3),driving_time,2,14971,372,0,66957575,11.46276868612651,11.541821304609673,12.441862804900879,1.62,4.42,7.5,14.09,42.8175,0,312.16
All,4,Small metro (4),driving_time,2,6645,357,0,29301265,15.368692249811888,15.011145384678784,16.4953775188874,1.86,5.21,9.72,20.31,53.75799999999999,0.01,276.06
All,56,Rural (5-6),driving_time,2,12154,1969,0,46054597,35.011225111074545,31.981451795789248,33.66274492825131,3.02,14.5825,28.575,46.29749999999999,108.91524999999999,0.06,959.87
All,5,Micropolitan (5),driving_time,2,6653,641,0,27214881,25.605465203667517,24.789680505308844,23.411764957758766,2.583,9.44,20.41,33.8,83.314,0.06,369.93
All,6,Non-core (6),driving_time,2,5501,1328,0,18839716,46.386706053444826,42.37031327595384,40.05698435141819,5.7,25.8,39.72,57.54,126.205,0.1,959.87
All,99,All,driving_time,3,73036,3134,0,320954238,15.545656251711485,14.509692051020682,21.8050070256111,1.73,4.66,7.97,17.77,70.3625,0,960.12
All,1234,Urban (1-4),driving_time,3,60882,1165,0,274899641,10.354793042278505,10.538752340604184,11.48114974334402,1.64,4.25,6.82,11.86,40.25924999999995,0,313.19
All,1,Large central metro (1),driving_time,3,22671,68,0,98876565,6.013155132107097,6.367795282228908,5.795391175767831,1.28,3.15,4.92,7.27,17.0625,0.05,211.81
All,2,Large fringe metro (2),driving_time,3,16595,368,0,79764236,11.126325399216631,11.200104965839579,9.947825507129037,2.24,5.2,7.98,13.38,37.73599999999998,0,176.83
All,3,Medium metro (3),driving_time,3,14971,372,0,66957575,12.952965065793869,13.061356212497243,13.221239075471084,2.0425,5.25,8.7,16.055,45.544999999999995,0.24,313.19
All,4,Small metro (4),driving_time,3,6645,357,0,29301265,17.386916478555303,17.04871639398504,17.938384267269043,2.35,6.18,11.58,23.06,58.97299999999997,0.42,283.6
All,56,Rural (5-6),driving_time,3,12154,1969,0,46054597,41.54780648346223,38.21220975682406,37.226777999497656,4.03825,20.32,34.605000000000004,53.69,122.04699999999997,0.1,960.12
All,5,Micropolitan (5),driving_time,3,6653,641,0,27214881,31.118803547271906,30.10927945376649,25.983476928862377,3.286,13.39,26.26,40.67,96.23799999999996,0.79,528.53
All,6,Non-core (6),driving_time,3,5501,1328,0,18839716,54.160814397382296,49.91728450152858,44.21484642546602,9.2,31.69,45.88,65.86,143.28,0.1,960.12
All,99,All,driving_time,4,73036,3134,0,320954238,17.213857002026398,16.073467739597195,23.33730271306659,2.01,5.24,8.9,19.86,76.79125,0.1,965.28
All,1234,Urban (1-4),driving_time,4,60882,1165,0,274899641,11.324662626063533,11.527667074217824,12.053692443724632,1.91,4.8,7.585,13.05,42.81949999999997,0.18,326.76
All,1,Large central metro (1),driving_time,4,22671,68,0,98876565,6.593409201182127,6.983344037588684,5.986428380537795,1.5,3.56,5.45,8.015,18.3825,0.18,212.16
All,2,Large fringe metro (2),driving_time,4,16595,368,0,79764236,12.258013859596264,12.31821163735587,10.656526487357455,2.62,5.82,8.9,14.77,40.715499999999935,0.53,185.72
All,3,Medium metro (3),driving_time,4,14971,372,0,66957575,14.041131520940485,14.182134696933096,13.666104723686747,2.43,5.95,9.76,17.43,47.9975,0.34,313.91
All,4,Small metro (4),driving_time,4,6645,357,0,29301265,19.015411587659894,18.644532304322016,18.716066539706997,2.8620000000000005,7.04,13.12,25.12,62.159,0.67,326.76
All,56,Rural (5-6),driving_time,4,12154,1969,0,46054597,46.714098239262796,43.207327383844,38.74395917363772,5.12,24.692500000000003,39.58,59.14,132.74524999999966,0.1,965.28
All,5,Micropolitan (5),driving_time,4,6653,641,0,27214881,35.914064331880354,34.85756443763248,27.750168226076326,4.253,17.03,31.2,47.28,103.774,0.79,530.67
All,6,Non-core (6),driving_time,4,5501,1328,0,18839716,59.77583712052354,55.26896382036757,45.53869688212245,12.965,36.02,50.66,71.56,153.47,0.1,965.28
All,99,All,driving_time,5,73036,3134,0,320954238,18.59650679117148,17.36840900000828,25.020874485466997,2.24,5.75,9.7,21.61,81.16375,0.1,965.52
All,1234,Urban (1-4),driving_time,5,60882,1165,0,274899641,12.149269734897015,12.373995520241513,12.535342271465439,2.12,5.26,8.25,14.07,45.15,0.36,335.59
All,1,Large central metro (1),driving_time,5,22671,68,0,98876565,7.082672577301398,7.497510429594718,6.162393922147639,1.68,3.9,5.94,8.61,19.48,0.37,217.38
All,2,Large fringe metro (2),driving_time,5,16595,368,0,79764236,13.197686652606206,13.268285663389292,11.1625544389995,2.99,6.36,9.69,15.95,43.46449999999999,0.75,185.83
All,3,Medium metro (3),driving_time,5,14971,372,0,66957575,15.017736290160977,15.168780390866903,14.124877123703094,2.74,6.5,10.61,18.65,50.357499999999995,0.36,314.23
All,4,Small metro (4),driving_time,5,6645,357,0,29301265,20.354316027088036,20.008672979477165,19.322192690679,3.2910000000000004,7.8,14.29,26.95,64.82499999999997,0.76,335.59
All,56,Rural (5-6),driving_time,5,12154,1969,0,46054597,50.89210383412868,47.18003611279021,41.518577227638744,6.138249999999999,27.99,43.21,63.347500000000004,142.74049999999994,0.1,965.52
All,5,Micropolitan (5),driving_time,5,6653,641,0,27214881,39.72078611152863,38.58477386397537,29.58744786298057,5.06,20.48,34.58,51.34,117.56699999999996,1.05,530.77
All,6,Non-core (6),driving_time,5,5501,1328,0,18839716,64.40287947645882,59.59630816621652,49.15935350227517,16.835,39.42,54.34,75.9,163.86,0.1,965.52
All,99,All,driving_time,6,73036,3134,0,320954238,19.86109466564434,18.56976601919804,26.113978986000895,2.45,6.21,10.41,23.47,86.3475,0.19,966.1
All,1234,Urban (1-4),driving_time,6,60882,1165,0,274899641,12.955341315988305,13.20024193523774,13.10847826298466,2.33,5.6625,8.84,15.1075,47.38,0.37,351.54
All,1,Large central metro (1),driving_time,6,22671,68,0,98876565,7.525957390498875,7.9749505152206694,6.330526029841871,1.82,4.19,6.36,9.16,20.4775,0.37,218.49
All,2,Large fringe metro (2),driving_time,6,16595,368,0,79764236,14.028970171738475,14.122111291832596,11.590650693297945,3.26,6.86,10.32,17.05,45.51449999999999,0.86,187.83
All,3,Medium metro (3),driving_time,6,14971,372,0,66957575,15.93798811034667,16.072368719446605,14.546423767911602,3.04,6.97,11.37,19.975,52.3475,0.61,314.3
All,4,Small metro (4),driving_time,6,6645,357,0,29301265,22.077912716328065,21.76014599574455,20.463710456748608,3.63,8.6,15.91,28.88,72.19499999999995,0.79,351.54
All,56,Rural (5-6),driving_time,6,12154,1969,0,46054597,54.45349843672865,50.62042630445773,42.44719456134952,7.24,30.7525,46.45,67.22749999999999,149.91049999999996,0.19,966.1
All,5,Micropolitan (5),driving_time,6,6653,641,0,27214881,43.2361476025853,42.02756564065079,30.72947381290897,5.843,23.77,37.44,55.22,125.00099999999998,1.23,530.79
All,6,Non-core (6),driving_time,6,5501,1328,0,18839716,68.0199472823123,63.033229152180425,50.02865264241485,19.73,41.89,57.76,80.06,172.165,0.19,966.1
All,99,All,driving_time,7,73030,3131,0,320930390,21.035377926879367,19.665730162388172,27.19169651125731,2.63,6.64,11.09,25.17,90.64099999999976,0.39,966.24
All,1234,Urban (1-4),driving_time,7,60882,1165,0,274899641,13.659202884267929,13.909400037375823,13.570174250962697,2.5,6.04,9.39,16.04,48.97974999999998,0.39,396.91
All,1,Large central metro (1),driving_time,7,22671,68,0,98876565,7.915501301221825,8.386083790329893,6.4476769624815145,1.97,4.47,6.75,9.63,21.1425,0.39,218.49
All,2,Large fringe metro (2),driving_time,7,16595,368,0,79764236,14.800458571858993,14.87800570521355,12.145427483741443,3.54,7.32,10.96,18.035,47.30599999999998,1.12,213.27
All,3,Medium metro (3),driving_time,7,14971,372,0,66957575,16.72580789526418,16.88281609123389,14.880376083228668,3.33,7.46,12.12,21.075,53.715,0.63,314.52
All,4,Small metro (4),driving_time,7,6645,357,0,29301265,23.496099322799097,23.116296681730294,21.081879935947878,4.03,9.36,17.3,31.15,74.78999999999992,1.09,396.91
All,56,Rural (5-6),driving_time,7,12148,1966,0,46030749,58.00247448139611,54.04303488196553,43.392851695499864,8.85675,33.65,49.5,70.82249999999999,155.81824999999978,1.9,966.24
All,5,Micropolitan (5),driving_time,7,6653,641,0,27214881,47.09407184728694,45.81761103640321,32.061243926518245,6.75,27.24,40.56,59.37,131.28999999999996,1.9,538.12
All,6,Non-core (6),driving_time,7,5495,1325,0,18815868,71.20968152866241,65.94011723455968,50.989774230452966,22.63,44.38,60.44,82.82499999999999,177.2524999999999,3.51,966.24
All,99,All,driving_time,8,73030,3131,0,320930390,22.12898918252773,20.698139742141592,28.23214688379312,2.8,7.01,11.69,26.6,95.26549999999989,0.59,966.45
All,1234,Urban (1-4),driving_time,8,60882,1165,0,274899641,14.334729148188298,14.589542825121406,14.072333578659537,2.66,6.38,9.9,16.89,51.05,0.59,406.44
All,1,Large central metro (1),driving_time,8,22671,68,0,98876565,8.27831502800935,8.76589281110241,6.606773217889933,2.12,4.72,7.08,10.08,21.942500000000003,0.59,218.65
All,2,Large fringe metro (2),driving_time,8,16595,368,0,79764236,15.45985176257909,15.530349027601794,12.452534215116659,3.79,7.74,11.56,18.8,48.492999999999995,1.25,214.05
All,3,Medium metro (3),driving_time,8,14971,372,0,66957575,17.472070669961926,17.63877632261921,15.277787213846945,3.56,7.89,12.79,22.134999999999998,55.32,0.69,315.04
All,4,Small metro (4),driving_time,8,6645,357,0,29301265,25.119441685477803,24.71233242421445,22.037358062289155,4.44,10.19,18.56,33.02,79.19899999999984,1.48,406.44
All,56,Rural (5-6),driving_time,8,12148,1966,0,46030749,61.191397760948306,57.17921241603085,44.372878725826375,10.4435,36.13,52.315,74.34,163.55124999999973,1.91,966.45
All,5,Micropolitan (5),driving_time,8,6653,641,0,27214881,50.58741319705396,49.254434384262055,33.13064181428767,7.689,29.99,43.56,63.29,134.78999999999996,1.91,540.15
All,6,Non-core (6),driving_time,8,5495,1325,0,18815868,74.03003457688808,68.64144690268873,52.18475764204505,24.94,46.175,62.71,85.82499999999999,186.25199999999995,4.4,966.45
All,99,All,driving_time,9,73012,3130,0,320859297,23.238776776420313,21.72174458070947,29.679090164840805,2.96,7.39,12.32,28.12,98.99,0.61,966.5
All,1234,Urban (1-4),driving_time,9,60881,1165,0,274899641,15.036855340746703,15.290847344213157,14.54850318256388,2.82,6.74,10.4,17.84,53.55,0.61,408.1
All,1,Large central metro (1),driving_time,9,22671,68,0,98876565,8.617895990472409,9.122278180577977,6.710098473132344,2.26,4.97,7.42,10.48,22.4075,0.61,219.49
All,2,Large fringe metro (2),driving_time,9,16595,368,0,79764236,16.079434166917746,16.155271920989755,12.722980945346144,4.0685,8.13,12.13,19.58,49.83299999999999,1.26,214.39
All,3,Medium metro (3),driving_time,9,14970,372,0,66957575,18.396118904475617,18.543768392149808,15.796118846089891,3.8,8.31,13.5,23.39,57.96399999999994,0.98,316.1
All,4,Small metro (4),driving_time,9,6645,357,0,29301265,26.76514070729872,26.320031882241263,22.650866780835443,4.771,11.12,20.62,34.83,85.585,1.52,408.1
All,56,Rural (5-6),driving_time,9,12131,1965,0,45959656,64.40118539279531,60.187031214289334,46.98334473146996,12.0925,37.91,54.69,77.815,169.3875,2.15,966.5
All,5,Micropolitan (5),driving_time,9,6636,640,0,27143788,53.88228149487643,52.384741708121204,35.902810313450985,8.778749999999999,32.0475,45.805,66.7425,145.98375,2.15,540.15
All,6,Non-core (6),driving_time,9,5495,1325,0,18815868,77.10426933575978,71.44262103188649,54.972301159782766,27.23,48.495000000000005,65.1,89.24,189.03749999999994,5.84,966.5
All,99,All,driving_time,10,73012,3130,0,320859297,24.306380731934475,22.72694115748187,30.90996670948483,3.12,7.73,12.94,29.52,103.74449999999983,0.65,969.76
All,1234,Urban (1-4),driving_time,10,60881,1165,0,274899641,15.740344442436886,16.005058549130663,15.140641703825858,2.95,7.06,10.9,18.67,56.45,0.65,408.1
All,1,Large central metro (1),driving_time,10,22671,68,0,98876565,8.94187861144193,9.462474190825702,6.829791780169707,2.37,5.19,7.72,10.9,22.92,0.65,221.01
All,2,Large fringe metro (2),driving_time,10,16595,368,0,79764236,16.679537210003012,16.766740054778435,12.957390562329742,4.31,8.51,12.69,20.355,51.1315,1.61,216.63
All,3,Medium metro (3),driving_time,10,14970,372,0,66957575,19.302661322645292,19.461384995499017,16.645465292649483,4.05,8.7225,14.13,24.53,62.54774999999999,1.08,316.52
All,4,Small metro (4),driving_time,10,6645,357,0,29301265,28.564156508653124,28.111228263694418,23.341675103302254,5.1640000000000015,12.24,22.39,37.42,88.14199999999992,1.52,408.1
All,56,Rural (5-6),driving_time,10,12131,1965,0,45959656,67.29614706124804,62.93270588034862,48.82268582741642,14.3675,39.905,56.86,80.76,177.76000000000002,2.16,969.76
All,5,Micropolitan (5),driving_time,10,6636,640,0,27143788,56.97849306811332,55.369621102257355,38.08507403504439,10.3975,34.15,48.02,69.6825,153.1175,2.16,541.06
All,6,Non-core (6),driving_time,10,5495,1325,0,18815868,79.75619290263876,73.84321874335002,56.80855294228454,28.34,49.855000000000004,67.1,91.935,193.07099999999997,8.12,969.76
All,99,All,driving_time,11,73012,3130,0,320859297,25.395068207965814,23.798807215176314,31.865622093060445,3.2727500000000007,8.09,13.56,31.24,107.04899999999965,0.82,969.92
All,1234,Urban (1-4),driving_time,11,60881,1165,0,274899641,16.51413199520376,16.819547929711554,15.763917335050603,3.1,7.38,11.37,19.7,58.6,0.82,408.56
All,1,Large central metro (1),driving_time,11,22671,68,0,98876565,9.264033787658242,9.804307005608457,6.949260678609847,2.47,5.43,8.05,11.29,23.585,0.82,222.33
All,2,Large fringe metro (2),driving_time,11,16595,368,0,79764236,17.317194938234408,17.41535033207113,13.306513748195403,4.56,8.9,13.28,21.134999999999998,52.384499999999996,1.75,218.3
All,3,Medium metro (3),driving_time,11,14970,372,0,66957575,20.300990647962593,20.5957359090439,17.260276767548376,4.25225,9.17,14.84,26.05,65.5255,1.18,340.49
All,4,Small metro (4),driving_time,11,6645,357,0,29301265,30.71290895410083,30.241316988191464,24.16433222119442,5.551,13.42,25.01,39.9,91.20899999999999,2.11,408.56
All,56,Rural (5-6),driving_time,11,12131,1965,0,45959656,69.96520072541423,65.54402550010383,49.82077456643488,17.2875,41.68,59.09,83.94999999999999,182.6825,2.17,969.92
All,5,Micropolitan (5),driving_time,11,6636,640,0,27143788,59.78471217600964,58.15357442041619,39.0584941303458,12.333749999999998,36.04,50.56,73.2925,158.7475,2.17,550.82
All,6,Non-core (6),driving_time,11,5495,1325,0,18815868,82.25959963603276,76.20549683543697,57.97754297257771,29.578000000000003,51.78,69.09,94.6,202.46949999999993,8.13,969.92
All,99,All,driving_time,12,73012,3130,0,320859297,26.53028885662631,24.87978045142946,33.302239044727514,3.422750000000001,8.44,14.12,32.7425,111.14,0.87,970.29
All,1234,Urban (1-4),driving_time,12,60881,1165,0,274899641,17.335833018511522,17.646711632700896,17.339825647769562,3.25,7.7,11.85,20.51,61.88,0.87,486.06
All,1,Large central metro (1),driving_time,12,22671,68,0,98876565,9.574614706012087,10.12932695002097,7.079229812795095,2.58,5.64,8.36,11.66,24.1475,0.87,233.97
All,2,Large fringe metro (2),driving_time,12,16595,368,0,79764236,17.90431877071407,18.009473574347282,13.575548412144263,4.77,9.23,13.78,21.92,53.73049999999997,1.75,218.71
All,3,Medium metro (3),driving_time,12,14970,372,0,66957575,21.02716633266533,21.31503376877075,17.868602060080804,4.48,9.5825,15.4,26.79,67.05849999999995,1.22,349.47
All,4,Small metro (4),driving_time,12,6645,357,0,29301265,34.079444695259596,33.64382955684678,29.782365368507012,6.04,14.72,27.34,44.16,99.23199999999997,2.11,486.06
All,56,Rural (5-6),driving_time,12,12131,1965,0,45959656,72.67386035776111,68.14311605160839,51.113612496575485,19.705,43.47,61.46,86.88499999999999,188.9275,2.36,970.29
All,5,Micropolitan (5),driving_time,12,6636,640,0,27143788,62.65195147679325,60.94075605217665,40.292894420392884,15.1925,37.65,52.925,76.9125,163.9825,2.36,569.03
All,6,Non-core (6),driving_time,12,5495,1325,0,18815868,84.77675159235669,78.53324702639283,59.49581700370594,30.256999999999998,53.504999999999995,71.26,97.64,208.68249999999975,8.47,970.29
All,99,All,driving_time,13,73012,3130,0,320859297,27.597983893058675,25.879363914208163,35.06790273619336,3.58,8.76,14.684999999999999,34.102500000000006,115.71449999999982,0.94,1209.76
All,1234,Urban (1-4),driving_time,13,60881,1165,0,274899641,18.092475649217324,18.403506621676524,18.638089988982784,3.4,8.01,12.29,21.34,64.88,0.94,572.74
All,1,Large central metro (1),driving_time,13,22671,68,0,98876565,9.885271492214724,10.45924227292888,7.211846365358059,2.72,5.86,8.65,12.06,24.7625,0.94,241.32
All,2,Large fringe metro (2),driving_time,13,16595,368,0,79764236,18.516691774630914,18.646105145042696,13.924049902853163,5.0285,9.58,14.27,22.7,55.36,1.76,218.71
All,3,Medium metro (3),driving_time,13,14970,372,0,66957575,21.931994655978624,22.172958056351355,19.40303141902531,4.72,10,15.975000000000001,27.4975,70.17424999999997,1.5,572.74
All,4,Small metro (4),driving_time,13,6645,357,0,29301265,36.38413243039879,35.93713724270949,32.78770515942266,6.521,16.4,29.45,46.66,102.24099999999993,2.11,495.12
All,56,Rural (5-6),driving_time,13,12131,1965,0,45959656,75.3026123155552,70.59489629078163,54.120919392024966,21.259999999999998,45.015,63.43,89.82,193.1225,2.7,1209.76
All,5,Micropolitan (5),driving_time,13,6636,640,0,27143788,65.20186256781193,63.38172406924192,42.253620928795826,17.30875,38.8575,54.72,79.2525,172.21874999999997,2.7,569.45
All,6,Non-core (6),driving_time,13,5495,1325,0,18815868,87.5007151956324,81.00062498684622,63.551438167616794,31.251,54.96,73.06,100.565,211.93,10.1,1209.76
All,99,All,driving_time,14,73012,3130,0,320859297,28.686607680929164,26.908938645059738,36.88774943437922,3.75,9.1,15.28,35.53,119.82,1,1441.46
All,1234,Urban (1-4),driving_time,14,60881,1165,0,274899641,18.813236149209114,19.12478355808402,19.281081156970938,3.54,8.31,12.73,22.2,66.91,1,573.2
All,1,Large central metro (1),driving_time,14,22671,68,0,98876565,10.196255127696176,10.784979556176937,7.344055194423299,2.83,6.08,8.94,12.44,25.442500000000003,1,248.11
All,2,Large fringe metro (2),driving_time,14,16595,368,0,79764236,19.102509189514915,19.230627325133536,14.227131684717367,5.2,9.88,14.79,23.475,56.29299999999999,1.83,220.01
All,3,Medium metro (3),driving_time,14,14970,372,0,66957575,22.652456913827656,22.886252781257383,20.102252079694374,4.94,10.41,16.56,28.25,71.10299999999995,1.5,573.2
All,4,Small metro (4),driving_time,14,6645,357,0,29301265,38.840618510158016,38.38367110600856,33.444517766849664,6.962000000000001,18.24,31.87,50.58,106.37499999999994,2.16,497.4
All,56,Rural (5-6),driving_time,14,12131,1965,0,45959656,78.23740581980051,73.46850033755692,58.133827900680295,23.22,46.705,65.17,92.72,201.44249999999997,3.1,1441.46
All,5,Micropolitan (5),driving_time,14,6636,640,0,27143788,68.22533453887884,66.51876968350916,45.730017721486114,19.294999999999998,40.565,56.48,82.5775,183.30875,3.1,585.46
All,6,Non-core (6),driving_time,14,5495,1325,0,18815868,90.32841674249318,83.49418799281543,68.32806425609209,32.6635,56.6,75.13,103.31,217.53849999999989,10.92,1441.46
All,99,All,driving_time,15,73011,3130,0,320859297,29.75755078001945,27.92043226741845,38.01248590822535,3.9,9.43,15.86,37.06,124.39,1.04,1446.13
All,1234,Urban (1-4),driving_time,15,60881,1165,0,274899641,19.630910300422133,19.934668779833,20.258028014509417,3.68,8.62,13.18,23.21,70.46,1.04,614.61
All,1,Large central metro (1),driving_time,15,22671,68,0,98876565,10.515155484980813,11.116491424535228,7.495959043202361,2.92,6.295,9.24,12.82,26.02,1.04,253.25
All,2,Large fringe metro (2),driving_time,15,16595,368,0,79764236,19.707983127448028,19.822088183481128,14.602313339018114,5.44,10.25,15.28,24.26,57.74,1.91,220.01
All,3,Medium metro (3),driving_time,15,14970,372,0,66957575,23.62160788243153,23.860953587402175,21.52245969463651,5.15,10.76,17.18,29.6675,73.67874999999998,1.52,614.61
All,4,Small metro (4),driving_time,15,6645,357,0,29301265,41.548669676448455,41.025788300948776,34.534467317127906,7.281000000000001,20.2,34.19,53.51,111.59899999999993,2.74,497.59
All,56,Rural (5-6),driving_time,15,12130,1965,0,45959656,80.58360181368508,75.685879333605115,59.49520818653052,24.909,47.95250000000001,67.315,95.33,206.97199999999998,3.11,1446.13
All,5,Micropolitan (5),driving_time,15,6635,640,0,27143788,70.36579804069329,68.62200240217025,47.23093398526539,20.7455,41.73,58.09,85.37,188.94799999999998,3.11,636.7
All,6,Non-core (6),driving_time,15,5495,1325,0,18815868,92.92120473157416,85.87623451068004,69.58815905350488,33.653499999999994,58.055,77.14,105.745,223.763,11.61,1446.13
All,99,All,driving_time,16,72977,3129,0,320704272,30.88581470874385,29.00892909115972,39.22522722097321,4.06,9.77,16.4,38.69,129.1519999999994,1.17,1476.51
All,1234,Urban (1-4),driving_time,16,60848,1164,0,274745644,20.428567578227714,20.752860093570764,21.127103986619684,3.85,8.93,13.66,24.08,73.70299999999988,1.17,616.02
All,1,Large central metro (1),driving_time,16,22671,68,0,98876565,10.85697322570685,11.474135621823029,7.670824530436236,3.06,6.51,9.56,13.21,26.8425,1.17,253.29
All,2,Large fringe metro (2),driving_time,16,16595,368,0,79764236,20.355588430250076,20.457639017692088,14.976557685563597,5.68,10.55,15.76,25.165,59.09599999999999,2.02,220.32
All,3,Medium metro (3),driving_time,16,14970,372,0,66957575,24.54990046760187,24.865438012353344,22.46387976681858,5.34,11.16,17.75,30.4,76.50649999999997,1.55,616.02
All,4,Small metro (4),driving_time,16,6612,356,0,29147268,44.099522081064734,43.58958847841246,35.885606608405986,7.7655,21.8675,36.605000000000004,56.0925,122.57149999999992,3.58,497.62
All,56,Rural (5-6),driving_time,16,12129,1965,0,45958628,83.3470706571028,78.36460162453065,60.97254952070199,26.31,49.71,69.36,98.83,212.53399999999996,3.63,1476.51
All,5,Micropolitan (5),driving_time,16,6635,640,0,27143788,72.86192916352675,71.09726467875448,48.02734893715318,22.0285,43.28,60.07,88.465,194.91449999999998,3.63,641.37
All,6,Non-core (6),driving_time,16,5494,1325,0,18814840,96.00977793957044,88.84904121480703,71.61901314320271,34.7665,59.89,79.14500000000001,110.435,234.9770000000001,11.89,1476.51
