urc_cat,provider_cat,rank,median,p25,p75
Large central metro (1),"Buprenorphine
Practitioner",1,3.22,1.97,5.09
Large central metro (1),"Buprenorphine
Practitioner",2,4.26,2.7,6.41
Large central metro (1),"Buprenorphine
Practitioner",3,4.96,3.19,7.3175
Large central metro (1),"Buprenorphine
Practitioner",4,5.53,3.62,8.0675
Large central metro (1),"Buprenorphine
Practitioner",5,6.01,3.95,8.69
Large central metro (1),"Buprenorphine
Practitioner",6,6.45,4.25,9.24
Large central metro (1),"Buprenorphine
Practitioner",7,6.83,4.54,9.73
Large central metro (1),"Buprenorphine
Practitioner",8,7.22,4.82,10.2
Large central metro (1),"Buprenorphine
Practitioner",9,7.56,5.07,10.65
Large central metro (1),"Buprenorphine
Practitioner",10,7.89,5.3,11.04
Large central metro (1),"Buprenorphine
Practitioner",11,8.21,5.54,11.46
Large central metro (1),"Buprenorphine
Practitioner",12,8.52,5.77,11.84
Large central metro (1),"Buprenorphine
Practitioner",13,8.81,5.96,12.21
Large central metro (1),"Buprenorphine
Practitioner",14,9.1,6.19,12.6
Large central metro (1),"Buprenorphine
Practitioner",15,9.41,6.41,13.01
Large fringe metro (2),"Buprenorphine
Practitioner",1,5.14,3.18,8.67
Large fringe metro (2),"Buprenorphine
Practitioner",2,6.69,4.28,11.15
Large fringe metro (2),"Buprenorphine
Practitioner",3,7.81,5.12,13.04
Large fringe metro (2),"Buprenorphine
Practitioner",4,8.75,5.8,14.415
Large fringe metro (2),"Buprenorphine
Practitioner",5,9.56,6.39,15.71
Large fringe metro (2),"Buprenorphine
Practitioner",6,10.22,6.89,16.8
Large fringe metro (2),"Buprenorphine
Practitioner",7,10.9,7.37,17.75
Large fringe metro (2),"Buprenorphine
Practitioner",8,11.55,7.8,18.515
Large fringe metro (2),"Buprenorphine
Practitioner",9,12.17,8.21,19.34
Large fringe metro (2),"Buprenorphine
Practitioner",10,12.74,8.61,20.14
Large fringe metro (2),"Buprenorphine
Practitioner",11,13.35,8.98,20.985
Large fringe metro (2),"Buprenorphine
Practitioner",12,13.82,9.34,21.85
Large fringe metro (2),"Buprenorphine
Practitioner",13,14.37,9.67,22.48
Large fringe metro (2),"Buprenorphine
Practitioner",14,14.88,10,23.24
Large fringe metro (2),"Buprenorphine
Practitioner",15,15.36,10.38,24.15
Medium metro (3),"Buprenorphine
Practitioner",1,5.44,3.17,10.12
Medium metro (3),"Buprenorphine
Practitioner",2,7.19,4.33,13.075
Medium metro (3),"Buprenorphine
Practitioner",3,8.51,5.195,15.11
Medium metro (3),"Buprenorphine
Practitioner",4,9.57,5.89,16.74
Medium metro (3),"Buprenorphine
Practitioner",5,10.46,6.49,18.02
Medium metro (3),"Buprenorphine
Practitioner",6,11.26,7,19.26
Medium metro (3),"Buprenorphine
Practitioner",7,12,7.48,20.415
Medium metro (3),"Buprenorphine
Practitioner",8,12.77,7.99,21.91
Medium metro (3),"Buprenorphine
Practitioner",9,13.35,8.41,23.09
Medium metro (3),"Buprenorphine
Practitioner",10,14.05,8.86,24.5075
Medium metro (3),"Buprenorphine
Practitioner",11,14.665,9.3,25.32
Medium metro (3),"Buprenorphine
Practitioner",12,15.28,9.7,26
Medium metro (3),"Buprenorphine
Practitioner",13,15.81,10.112499999999999,26.97
Medium metro (3),"Buprenorphine
Practitioner",14,16.42,10.55,28.135
Medium metro (3),"Buprenorphine
Practitioner",15,17.03,10.98,28.8875
Small metro (4),"Buprenorphine
Practitioner",1,6.605,3.54,14.15
Small metro (4),"Buprenorphine
Practitioner",2,8.844999999999999,4.9,18.38
Small metro (4),"Buprenorphine
Practitioner",3,10.545,5.94,20.92
Small metro (4),"Buprenorphine
Practitioner",4,12.01,6.7425,23.144999999999996
Small metro (4),"Buprenorphine
Practitioner",5,13.5,7.54,25.947499999999998
Small metro (4),"Buprenorphine
Practitioner",6,15.004999999999999,8.35,27.65
Small metro (4),"Buprenorphine
Practitioner",7,16.39,9.192499999999999,29.7875
Small metro (4),"Buprenorphine
Practitioner",8,18.425,10.1,32.2175
Small metro (4),"Buprenorphine
Practitioner",9,20.4,11.24,34.8
Small metro (4),"Buprenorphine
Practitioner",10,22.88,12.3725,37.097500000000004
Small metro (4),"Buprenorphine
Practitioner",11,25.189999999999998,13.7,40.7
Small metro (4),"Buprenorphine
Practitioner",12,28.17,14.89,44.0075
Small metro (4),"Buprenorphine
Practitioner",13,30.29,16.64,48.2325
Small metro (4),"Buprenorphine
Practitioner",14,32.06,18.802500000000002,50.8175
Small metro (4),"Buprenorphine
Practitioner",15,35.12,21.1375,53.662499999999994
Micropolitan (5),"Buprenorphine
Practitioner",1,11.69,4.62,22.98
Micropolitan (5),"Buprenorphine
Practitioner",2,17.76,7.36,30.68
Micropolitan (5),"Buprenorphine
Practitioner",3,24.48,11.66,38.07
Micropolitan (5),"Buprenorphine
Practitioner",4,29.55,15.36,44.25
Micropolitan (5),"Buprenorphine
Practitioner",5,33.34,19.5,48.7
Micropolitan (5),"Buprenorphine
Practitioner",6,36.55,23.12,53.27
Micropolitan (5),"Buprenorphine
Practitioner",7,39.92,26.55,56.88
Micropolitan (5),"Buprenorphine
Practitioner",8,42.68,29.58,60.55
Micropolitan (5),"Buprenorphine
Practitioner",9,44.99,31.75,64.45
Micropolitan (5),"Buprenorphine
Practitioner",10,47.355000000000004,33.49,67.6275
Micropolitan (5),"Buprenorphine
Practitioner",11,49.675,35.45,72.07
Micropolitan (5),"Buprenorphine
Practitioner",12,51.504999999999995,36.9675,74.76
Micropolitan (5),"Buprenorphine
Practitioner",13,53.57,38.77,76.97
Micropolitan (5),"Buprenorphine
Practitioner",14,55.44,40.010000000000005,79.745
