providers,urc_code,urc_cat,metric,rank,n_tracts,n_counties,n_missing,pop,mean,pop_weighted_mean,sd,p025,p250,median,p750,p975,min,max
All,99,All,driving_time,1,73029,3140,0,320879445,9.418149091456819,8.697354836206475,14.451081417370325,0.85,2.77,4.89,10,45.193000000000026,0,1210.14
All,1234,Urban (1-4),driving_time,1,60868,1166,0,274808533,6.703441545639745,6.744755915603246,9.109142326956766,0.8,2.56,4.35,7.57,28.38324999999997,0,1210.14
All,1,Large central metro (1),driving_time,1,22670,68,0,98871617,3.976170269078077,4.201117594749158,3.5345416056436134,0.63,1.95,3.17,4.99,11.742749999999978,0,149.43
All,2,Large fringe metro (2),driving_time,1,16595,368,0,79764236,7.272092799035854,7.261149693454094,7.167188976127145,1.02,3.14,5.08,8.56,27.662999999999993,0.02,149.36
All,3,Medium metro (3),driving_time,1,14951,372,0,66861232,8.391791184536151,8.327309333905184,13.277520224796175,0.98,3.12,5.33,9.934999999999999,33.8375,0,1210.14
All,4,Small metro (4),driving_time,1,6652,358,0,29311448,10.784613650030066,10.309656818045974,11.963596743731445,1.07275,3.49,6.46,14,40.881499999999924,0,279.84
All,56,Rural (5-6),driving_time,1,12161,1974,0,46070912,23.00575034947784,20.34441849555746,24.84558910898548,1.46,6.28,17.37,31.47,79.03,0,935.19
All,5,Micropolitan (5),driving_time,1,6653,641,0,27214881,16.224847437246353,15.223603084283189,16.41874442203159,1.35,4.57,11.52,22.65,57.42399999999999,0.04,236.18
All,6,Non-core (6),driving_time,1,5508,1333,0,18856031,31.196263616557733,27.735283627291448,30.245600181882782,1.6967500000000002,12.797500000000001,26.2,41.58,97.48949999999991,0,935.19
All,99,All,driving_time,2,73013,3133,0,320841859,12.202935641598073,11.301828490153463,17.919287630985075,1.35,3.78,6.43,13.44,56.33099999999992,0,1210.28
All,1234,Urban (1-4),driving_time,2,60862,1165,0,274801553,8.389943478689494,8.477489936092173,10.08395562803557,1.28,3.49,5.66,9.59,32.91,0,1210.28
All,1,Large central metro (1),driving_time,2,22670,68,0,98871617,5.060010145566828,5.342942218189878,4.420720929491566,1.0072500000000002,2.64,4.15,6.28,14.1,0.04,189.7
All,2,Large fringe metro (2),driving_time,2,16595,368,0,79764236,9.121076830370594,9.146092303698616,8.072579371168244,1.6885000000000001,4.22,6.58,10.98,31.732999999999993,0.23,150.88
All,3,Medium metro (3),driving_time,2,14951,372,0,66861232,10.437725235770182,10.407011793171863,14.098858735888271,1.61,4.23,7,12.85,38.0825,0,1210.28
All,4,Small metro (4),driving_time,2,6646,357,0,29304468,13.316221787541378,12.830991110638829,13.485080303596442,1.7912500000000002,4.73,8.54,17.72,46.633750000000006,0,291.59
All,56,Rural (5-6),driving_time,2,12151,1968,0,46040306,31.301473129783556,28.15950577956628,31.34633383126304,2.47,11.87,25.68,42.1,96.95750000000001,0.19,943.03
All,5,Micropolitan (5),driving_time,2,6653,641,0,27214881,22.144022245603487,21.089836432501766,20.297467497095706,2.18,7.19,17.55,30.47,70.23599999999999,0.25,358.65
All,6,Non-core (6),driving_time,2,5498,1327,0,18825425,42.38268825027283,38.379737725974316,38.065201761339246,3.3685,23.18,36.51,53.665,114.60099999999994,0.19,943.03
All,99,All,driving_time,3,73013,3133,0,320841859,14.349531042417103,13.308736223567387,20.303185268339696,1.7,4.51,7.56,16.14,64.11699999999998,0.02,1210.65
All,1234,Urban (1-4),driving_time,3,60862,1165,0,274801553,9.630830731819525,9.750103647303623,10.916880621738747,1.62,4.15,6.58,11.1,36.444749999999985,0.02,1210.65
All,1,Large central metro (1),driving_time,3,22670,68,0,98871617,5.787161446846052,6.110030725703616,5.069808083209668,1.3,3.13,4.84,7.15,15.582749999999978,0.04,189.86
All,2,Large fringe metro (2),driving_time,3,16595,368,0,79764236,10.501008737571558,10.528909105579599,8.870262114998352,2.13,5.03,7.67,12.745000000000001,35.422999999999995,0.39,151.87
All,3,Medium metro (3),driving_time,3,14951,372,0,66861232,11.958605444451877,11.961397886446363,14.676735575691335,2.03,5.06,8.29,14.83,41.285,0.02,1210.65
All,4,Small metro (4),driving_time,3,6646,357,0,29304468,15.33242852843816,14.866361558585536,15.025082816739973,2.2512499999999998,5.7725,10.135000000000002,20.54,51.8825,0.31,292.19
All,56,Rural (5-6),driving_time,3,12151,1968,0,46040306,37.98458480783474,34.549206660789785,34.78416327235792,3.31,17.939999999999998,32.34,49.394999999999996,110.82,0.19,943.57
All,5,Micropolitan (5),driving_time,3,6653,641,0,27214881,27.767988877198256,26.54646404479961,22.747072973840094,2.883,11.11,23.84,37.36,83.92999999999995,0.26,369.93
All,6,Non-core (6),driving_time,3,5498,1327,0,18825425,50.34744634412514,46.118331287075854,42.05919057899918,6.029750000000001,29.6725,43.345,61.6875,127.2192499999999,0.19,943.57
All,99,All,driving_time,4,73013,3133,0,320841859,16.03688658184159,14.893418402864945,21.846483341294114,1.98,5.1,8.53,18.24,70.13099999999991,0.18,1210.65
All,1234,Urban (1-4),driving_time,4,60862,1165,0,274801553,10.605454635076073,10.745676908565361,11.454857918124606,1.88,4.69,7.35,12.32,39.01,0.18,1210.65
All,1,Large central metro (1),driving_time,4,22670,68,0,98871617,6.367752977503308,6.725334791075582,5.289658423596814,1.5,3.54,5.37,7.87,16.91,0.18,190.22
All,2,Large fringe metro (2),driving_time,4,16595,368,0,79764236,11.64576981018379,11.661509451428833,9.611812587130308,2.53,5.67,8.6,14.13,38.31449999999999,0.68,151.89
All,3,Medium metro (3),driving_time,4,14951,372,0,66861232,13.044389004079994,13.080490349773992,15.010551393938545,2.42,5.735,9.29,16.25,43.5375,0.4,1210.65
All,4,Small metro (4),driving_time,4,6646,357,0,29304468,16.97622780619922,16.490143581518012,15.83499447465028,2.7,6.52,11.68,22.775000000000002,54.708749999999995,0.75,292.19
All,56,Rural (5-6),driving_time,4,12151,1968,0,46040306,43.24187474281952,39.650113201463085,36.37029598607467,4.29,22.494999999999997,37.28,55.485,121.74499999999999,0.19,943.6
All,5,Micropolitan (5),driving_time,4,6653,641,0,27214881,32.709625732752144,31.42659585393741,25.082254154018816,3.673,14.81,28.85,43.68,96.51999999999998,0.69,528.53
All,6,Non-core (6),driving_time,4,5498,1327,0,18825425,55.986700618406694,51.53839970837312,43.19437318147488,9.82275,33.955,47.739999999999995,67.24,140.60324999999983,0.19,943.6
All,99,All,driving_time,5,73013,3133,0,320841859,17.43027310205032,16.200114465612792,23.500438709317976,2.2,5.63,9.34,20.02,75.18,0.19,1210.88
All,1234,Urban (1-4),driving_time,5,60862,1165,0,274801553,11.43737225197989,11.597671743434434,11.93370430316714,2.09,5.16,8.02,13.34,41.44949999999997,0.36,1210.88
All,1,Large central metro (1),driving_time,5,22670,68,0,98871617,6.8637441552712835,7.2470400240343995,5.488035033395253,1.6772500000000001,3.86,5.88,8.47,17.87,0.36,195.44
All,2,Large fringe metro (2),driving_time,5,16595,368,0,79764236,12.600187405845134,12.622612918777282,10.20039313628734,2.83,6.24,9.4,15.3,40.72,0.75,178.86
All,3,Medium metro (3),driving_time,5,14951,372,0,66861232,14.018614808374021,14.064501248047598,15.36120192354639,2.68,6.31,10.16,17.53,45.83,0.4,1210.88
All,4,Small metro (4),driving_time,5,6646,357,0,29304468,18.327994282275053,17.858323991413187,16.543090517710656,3.16,7.25,12.94,24.697499999999998,57.98375,0.87,293.71
All,56,Rural (5-6),driving_time,5,12151,1968,0,46040306,47.44754999588511,43.6707921724065,39.0426768235006,5.2175,26.08,40.84,59.614999999999995,131.5825,0.19,943.83
All,5,Micropolitan (5),driving_time,5,6653,641,0,27214881,36.51031865323914,35.158211867617574,26.903623906513694,4.43,18.18,32.27,47.76,106.245,1.15,530.67
All,6,Non-core (6),driving_time,5,5498,1327,0,18825425,60.68243543106584,55.97696109012147,46.619333815968574,15.58,37.2025,51.57,71.58250000000001,149.93074999999973,0.19,943.83
All,99,All,driving_time,6,73013,3133,0,320841859,18.712707873940257,17.418092978697022,24.590812207944236,2.413000000000002,6.08,10.07,21.88,79.88699999999997,0.19,1211.16
All,1234,Urban (1-4),driving_time,6,60862,1165,0,274801553,12.252517005684993,12.433310323759342,12.513861924647252,2.3,5.57,8.6,14.39,43.53949999999997,0.36,1211.16
All,1,Large central metro (1),driving_time,6,22670,68,0,98871617,7.313242170269078,7.732128967507429,5.660217688148413,1.83,4.16,6.3,9.03,19.082749999999976,0.36,196.54
All,2,Large fringe metro (2),driving_time,6,16595,368,0,79764236,13.446037360650799,13.4856218304404,10.749250533524268,3.09,6.72,10.03,16.41,42.382999999999996,0.89,215.01
All,3,Medium metro (3),driving_time,6,14951,372,0,66861232,14.9473085412347,14.983240795652705,15.720411554978652,2.9675000000000002,6.79,10.96,18.814999999999998,48.09,0.57,1211.16
All,4,Small metro (4),driving_time,6,6646,357,0,29304468,20.05827414986458,19.612593915371537,17.786265516092858,3.48,7.9624999999999995,14.385000000000002,26.64,65.41625,1.09,293.78
All,56,Rural (5-6),driving_time,6,12151,1968,0,46040306,51.07054974899185,47.170849507820385,39.91537360510608,6.397500000000001,29.26,43.98,63.41,138.765,0.19,943.92
All,5,Micropolitan (5),driving_time,6,6653,641,0,27214881,40.10546069442357,38.67328845567982,28.16589722453671,5.11,21.88,35.37,52.09,113.00399999999998,1.34,530.77
All,6,Non-core (6),driving_time,6,5498,1327,0,18825425,64.33914514368861,59.455305918458684,47.32774502307208,18.301000000000002,40.11,54.97,75.89750000000001,161.7732499999999,0.19,943.92
All,99,All,driving_time,7,73007,3130,0,320818011,19.8861105099511,18.518321639741107,25.6389838141955,2.61,6.51,10.73,23.53,84.13849999999991,0.39,1211.4
All,1234,Urban (1-4),driving_time,7,60862,1165,0,274801553,12.956996976767112,13.145688129062355,12.937760784516504,2.48,5.95,9.16,15.3,45.21474999999998,0.39,1211.4
