providers,urc_code,urc_cat,metric,new_rank,n_tracts,n_counties,n_missing,pop,mean,pop_weighted_mean,sd,p025,p250,median,p750,p975,min,max
All,99,All,driving_time,1,73056,3142,2,321004407,10.687494593040764,9.962929999323745,15.886141188821806,0.86,2.94,5.31,11.59,51.58675000000002,0,957.47
All,1234,Urban (1-4),driving_time,1,60890,1166,1,274911075,7.444316214751433,7.545051226761543,9.470562077347477,0.81,2.67,4.6,8.3,32.41,0,311.23
All,1,Large central metro (1),driving_time,1,22671,68,0,98876565,4.208895064178907,4.463953799568179,4.39748445766661,0.63,1.97,3.25,5.16,13.1425,0,153.16
All,2,Large fringe metro (2),driving_time,1,16595,368,0,79764236,7.905540222958723,7.930919449162655,8.199854339357987,1.1,3.29,5.39,9.29,29.99,0,161.75
All,3,Medium metro (3),driving_time,1,14971,372,0,66957575,9.430957851846903,9.466850596665127,11.270461368990183,0.98,3.33,5.86,11.25,38.127500000000005,0,311.23
All,4,Small metro (4),driving_time,1,6653,358,1,29312699,12.849338544798556,12.498433967506484,15.073620327692701,1.16,3.89,7.72,16.572499999999998,48.91124999999986,0,264.31
All,56,Rural (5-6),driving_time,1,12166,1976,1,46093332,26.92044882860666,24.383641173304635,27.395404006868667,1.9,8.96,20.75,36.02,92.49299999999994,0,957.47
All,5,Micropolitan (5),driving_time,1,6654,641,1,27214881,19.822534195099955,19.06433846247573,19.892527865854227,1.643,6.26,14.83,26.4,69.59399999999991,0.06,323.02
All,6,Non-core (6),driving_time,1,5512,1335,0,18878451,35.48765239477503,32.051865132896765,32.32129724335043,2.6955,16.3575,29.13,46.13250000000001,110.94249999999973,0,957.47
All,99,All,driving_time,2,73056,3142,20,321004407,12.970270962265184,12.123404208577549,18.822292239089023,1.25,3.74,6.61,14.46,60.71125000000001,0,959.87
All,1234,Urban (1-4),driving_time,2,60890,1166,8,274911075,8.872137577609145,9.024858503871236,10.464394948908788,1.18,3.41,5.71,10.09,36.36974999999998,0,312.16
All,1,Large central metro (1),driving_time,2,22671,68,0,98876565,5.12533589166777,5.429807321482092,5.200957305663293,0.96,2.53,4.07,6.26,15.282499999999999,0,211.65
All,2,Large fringe metro (2),driving_time,2,16595,368,0,79764236,9.491669780054233,9.565697350501797,9.022601255932258,1.5985000000000005,4.19,6.67,11.35,34.05299999999999,0,163.09
All,3,Medium metro (3),driving_time,2,14971,372,0,66957575,11.140450871685259,11.223771490828334,12.334585365117324,1.47,4.2,7.25,13.65,42.2,0,312.16
All,4,Small metro (4),driving_time,2,6653,358,8,29312699,14.997598194130925,14.659182935617284,16.340510925332165,1.58,4.91,9.49,19.79,52.96599999999999,0,276.06
All,56,Rural (5-6),driving_time,2,12166,1976,12,46093332,33.498702484778676,30.61860680140139,32.786178112542586,2.68,13.15,27.15,44.82,106.37,0.06,959.87
All,5,Micropolitan (5),driving_time,2,6654,641,1,27214881,24.80220351721028,24.046637537750026,22.750476380521246,2.33,8.76,19.64,33.21,82.431,0.06,347.24
All,6,Non-core (6),driving_time,2,5512,1335,11,18878451,44.01639156516997,40.11213427527252,39.33308991600415,4.05,23.75,37.61,55.82,123.35,0.1,959.87
All,99,All,driving_time,3,73056,3142,20,321004407,14.608963661755846,13.656859531046292,20.617859832472103,1.48,4.28,7.48,16.58,67.03125,0,960.12
All,1234,Urban (1-4),driving_time,3,60890,1166,8,274911075,9.854631418153149,10.044208534270147,11.270696826033022,1.39,3.9,6.42,11.27,39.09,0,313.19
All,1,Large central metro (1),driving_time,3,22671,68,0,98876565,5.720975254730713,6.0634389972993095,5.7662706309056535,1.1,2.88,4.59,6.97,16.6125,0,211.81
All,2,Large fringe metro (2),driving_time,3,16595,368,0,79764236,10.617610123531184,10.726298069726386,9.788260351181558,1.9185000000000003,4.79,7.54,12.76,36.9415,0,176.83
All,3,Medium metro (3),driving_time,3,14971,372,0,66957575,12.250426825195378,12.365931462571636,12.910379284308494,1.7125,4.8149999999999995,8.19,15.26,44.295,0,313.19
All,4,Small metro (4),driving_time,3,6653,358,8,29312699,16.654486079759216,16.3149797822722,17.79790211971705,1.93,5.67,10.74,22.16,57.86999999999982,0,283.6
All,56,Rural (5-6),driving_time,3,12166,1976,12,46093332,38.424436399539246,35.22075383831933,35.183155848951266,3.32,17.31,31.755000000000003,50.397499999999994,118.35,0.06,960.12
All,5,Micropolitan (5),driving_time,3,6654,641,1,27214881,28.404165038328575,27.49971176724969,24.564338868773774,2.733,11.09,23.62,37.8,87.65599999999998,0.06,369.93
All,6,Non-core (6),driving_time,3,5512,1335,11,18878451,50.543117614979096,46.37417256077533,41.67818972519822,6.550000000000001,28.72,42.96,62.08,136.76999999999998,0.1,960.12
All,99,All,driving_time,4,73056,3142,20,321004407,15.926821293608631,14.87337625509092,22.036590240928554,1.64,4.7,8.21,18.18,72.3,0,965.28
All,1234,Urban (1-4),driving_time,4,60890,1166,8,274911075,10.595497519792385,10.801410947604694,11.741998146149841,1.54,4.29,7,12.21,41.039749999999984,0,326.76
All,1,Large central metro (1),driving_time,4,22671,68,0,98876565,6.158530280975696,6.536609110055552,5.928248028370841,1.21,3.17,5.01,7.51,17.6825,0,211.81
All,2,Large fringe metro (2),driving_time,4,16595,368,0,79764236,11.47948900271166,11.568514540526659,10.303945331657136,2.16,5.26,8.27,13.905000000000001,38.9415,0,176.83
All,3,Medium metro (3),driving_time,4,14971,372,0,66957575,13.127606706298845,13.271113236403798,13.326520706151403,1.92,5.27,8.98,16.45,46.162499999999994,0,313.91
All,4,Small metro (4),driving_time,4,6653,358,8,29312699,17.82084574868322,17.461063623021055,18.50289840633389,2.24,6.27,11.75,23.55,60.80099999999997,0,326.76
All,56,Rural (5-6),driving_time,4,12166,1976,12,46093332,42.632568701662,39.17891520470801,37.0406535881132,4.03,20.5625,35.76,55.17,127.97224999999995,0.06,965.28
All,5,Micropolitan (5),driving_time,4,6654,641,1,27214881,31.96256876597024,30.957165897583753,26.860094651663093,3.32,13.26,26.84,42.46,98.39599999999999,0.06,528.53
All,6,Non-core (6),driving_time,4,5512,1335,11,18878451,55.537042355935284,51.05562974781573,43.06730778545502,8.4,32.51,47.41,67.39,147.42000000000002,0.1,965.28
All,99,All,driving_time,5,73056,3142,20,321004407,17.069513116819103,15.952825208838652,23.145722894630136,1.79,5.08,8.87,19.7125,76.21,0,965.28
All,1234,Urban (1-4),driving_time,5,60890,1166,8,274911075,11.269853487073355,11.494085831890919,12.145485459404796,1.7,4.63,7.53,13.11,42.72974999999998,0,335.59
All,1,Large central metro (1),driving_time,5,22671,68,0,98876565,6.541497507829385,6.942369138430324,6.0736183325708035,1.34,3.43,5.38,8,18.56,0,212.16
All,2,Large fringe metro (2),driving_time,5,16595,368,0,79764236,12.245957216028925,12.343321560178925,10.73174075367324,2.37,5.695,8.89,14.93,40.93049999999998,0,176.83
All,3,Medium metro (3),driving_time,5,14971,372,0,66957575,13.9337519203794,14.089420352962305,13.69077115626979,2.08,5.77,9.79,17.505000000000003,47.584999999999994,0.07,314.23
All,4,Small metro (4),driving_time,5,6653,358,8,29312699,18.962388261851014,18.61125864361146,19.02679820752415,2.44,6.82,12.9,25.19,63.43799999999999,0,335.59
All,56,Rural (5-6),driving_time,5,12166,1976,12,46093332,46.12125555372717,42.56701649218643,38.31390251288033,4.69,23.7225,39.195,58.835,134.28699999999998,0.1,965.28
All,5,Micropolitan (5),driving_time,5,6654,641,1,27214881,35.26316248309033,34.244200233688325,28.176016768437318,3.843,15.95,30.32,46.98,104.50699999999998,0.53,530.67
All,6,Non-core (6),driving_time,5,5512,1335,11,18878451,59.253212143246685,54.58972713495257,44.36645243289416,10.775,35.42,50.55,71.27,154.04,0.1,965.28
All,99,All,driving_time,6,73056,3142,20,321004407,18.059356344816255,16.896523420482144,24.012793029773405,1.93,5.44,9.41,21.15,79.655,0,965.28
All,1234,Urban (1-4),driving_time,6,60890,1166,8,274911075,11.890928845964325,12.132898725502518,12.539159427702002,1.810250000000001,4.94,7.98,13.96,44.67,0,351.54
All,1,Large central metro (1),driving_time,6,22671,68,0,98876565,6.890991575140046,7.315260270823526,6.232847300761443,1.43,3.65,5.69,8.44,19.6425,0,217.38
All,2,Large fringe metro (2),driving_time,6,16595,368,0,79764236,12.89866887616752,13.016706098457458,11.101164063451456,2.58,6.08,9.38,15.765,42.64,0.23,185.72
All,3,Medium metro (3),driving_time,6,14971,372,0,66957575,14.717774363769955,14.872665603854381,14.02830483067352,2.25,6.13,10.44,18.645,48.96,0.07,314.3
All,4,Small metro (4),driving_time,6,6653,358,8,29312699,20.06390519187359,19.72325960909879,19.604645489481637,2.71,7.27,13.93,26.86,65.57499999999995,0,351.54
All,56,Rural (5-6),driving_time,6,12166,1976,12,46093332,48.958336350172786,45.33057352211767,39.142609801998326,5.11,25.99,41.95,62.29,139.43349999999998,0.1,965.28
All,5,Micropolitan (5),driving_time,6,6654,641,1,27214881,37.96416052908462,36.89048548182151,29.371260200614174,4.123,18.32,32.65,50.24,113.22399999999999,0.53,530.77
All,6,Non-core (6),driving_time,6,5512,1335,11,18878451,62.25487365933466,57.522688925884026,44.93415750353196,13.795,38.33,53.37,74.34,160.69,0.1,965.28
All,99,All,driving_time,7,73056,3142,20,321004407,19.026475162933348,17.800713556055303,25.07906075300889,2.07,5.77,9.91,22.47,83.1,0.01,965.28
All,1234,Urban (1-4),driving_time,7,60890,1166,8,274911075,12.460766236326007,12.714824454608872,12.929839756169423,1.93,5.22,8.4,14.66,46.10874999999992,0.01,396.91
All,1,Large central metro (1),driving_time,7,22671,68,0,98876565,7.204547660006175,7.647059998595218,6.334984493833324,1.52,3.86,6,8.83,20.1525,0.05,217.38
All,2,Large fringe metro (2),driving_time,7,16595,368,0,79764236,13.520165712564026,13.63430836872806,11.455506426803382,2.74,6.44,9.87,16.6,44.294499999999985,0.41,185.83
All,3,Medium metro (3),driving_time,7,14971,372,0,66957575,15.414463963663081,15.584231351568512,14.383818147507114,2.44,6.47,10.98,19.68,50.6975,0.07,314.52
All,4,Small metro (4),driving_time,7,6653,358,8,29312699,21.093300225733636,20.755865761427025,20.243650123136256,2.9610000000000003,7.78,14.83,28.3,67.95599999999997,0.01,396.91
All,56,Rural (5-6),driving_time,7,12166,1976,12,46093332,51.91552328451539,48.15835816107565,40.55336220589781,5.678249999999999,28.38,44.474999999999994,65.6375,145.8444999999999,0.1,965.28
All,5,Micropolitan (5),driving_time,7,6654,641,1,27214881,40.90613257177213,39.74141689504356,30.903371986223807,4.543,20.59,34.94,53.49,124.97999999999999,0.79,530.77
All,6,Non-core (6),driving_time,7,5512,1335,11,18878451,65.23046173423015,60.31703692985606,46.42118004537309,16.759999999999998,40.58,55.92,77.68,166.755,0.1,965.28
All,99,All,driving_time,8,73056,3142,20,321004407,19.944699326359604,18.65418263761951,26.216051365025315,2.17875,6.05,10.39,23.64,87.55375000000001,0.01,965.28
All,1234,Urban (1-4),driving_time,8,60890,1166,8,274911075,12.979289773660524,13.244366286786093,13.338933390165932,2.05,5.5,8.8,15.307500000000001,47.67,0.01,406.44
All,1,Large central metro (1),driving_time,8,22671,68,0,98876565,7.4938352961933745,7.953091320678464,6.452361344310784,1.64,4.04,6.27,9.2,20.84,0.05,217.38
All,2,Large fringe metro (2),driving_time,8,16595,368,0,79764236,14.10477613739078,14.223903681218735,11.805498344247962,2.89,6.8,10.4,17.32,45.42599999999999,0.41,213.27
All,3,Medium metro (3),driving_time,8,14971,372,0,66957575,15.975993587602698,16.153676710812782,14.68713773372167,2.59,6.76,11.47,20.47,51.95,0.31,315.04
All,4,Small metro (4),driving_time,8,6653,358,8,29312699,22.131981941309256,21.78497606263757,21.079923807213248,3.16,8.19,15.66,29.46,73.85699999999996,0.01,406.44
All,56,Rural (5-6),driving_time,8,12166,1976,12,46093332,54.83593384893862,50.94534724644318,42.1713236948384,6.34825,30.45,47.09,68.44,153.01224999999994,0.1,965.28
All,5,Micropolitan (5),driving_time,8,6654,641,1,27214881,43.75677138133173,42.477861361583756,32.143972136557196,5.06,23.01,37.5,56.49,128.91,0.79,530.79
All,6,Non-core (6),driving_time,8,5512,1335,11,18878451,68.23525540810762,63.17704016185806,48.49698222769996,18.445,42.1,58.31,80.55,174.015,0.1,965.28
All,99,All,driving_time,9,73056,3142,38,321004407,20.691583719082967,19.362733139878696,26.84919887692707,2.3,6.32,10.82,24.73,90.2,0.05,965.52
All,1234,Urban (1-4),driving_time,9,60890,1166,9,274911075,13.486749067853681,13.755188249736564,13.683560225314462,2.16,5.74,9.17,15.94,49.43,0.05,408.1
All,1,Large central metro (1),driving_time,9,22671,68,0,98876565,7.767765427197742,8.241403165755202,6.551870842019454,1.71,4.22,6.53,9.55,21.375,0.05,217.38
All,2,Large fringe metro (2),driving_time,9,16595,368,0,79764236,14.614197047303405,14.737073220133393,12.044773987632173,3.1085000000000003,7.08,10.81,17.92,46.55449999999999,0.41,214.05
All,3,Medium metro (3),driving_time,9,14971,372,1,66957575,16.64913627254509,16.818826242885887,15.160663504360377,2.7422500000000003,7.04,11.9,21.32,55.24874999999998,0.31,316.1
All,4,Small metro (4),driving_time,9,6653,358,8,29312699,23.058478555304742,22.68760308061785,21.450072770086162,3.281,8.76,16.59,30.75,75.93399999999964,0.1,408.1
All,56,Rural (5-6),driving_time,9,12166,1976,29,46093332,56.83210760484469,52.88588694719741,42.79343943767958,6.95,32.01,48.81,70.71,156.84400000000002,0.19,965.52
All,5,Micropolitan (5),driving_time,9,6654,641,18,27214881,45.62893459915612,44.330723565922334,32.76644068559101,5.4575,24.6775,39.035,58.3625,132.16625,0.79,538.12
All,6,Non-core (6),driving_time,9,5512,1335,11,18878451,70.34678785675332,65.21195073322761,49.10687044274212,19.689999999999998,43.66,60.15,82.76,182.42,0.19,965.52
All,99,All,driving_time,10,73056,3142,44,321004407,21.46925039719498,20.10148033937131,27.94329850437344,2.42,6.59,11.25,25.7925,93.25624999999957,0.05,966.1
All,1234,Urban (1-4),driving_time,10,60890,1166,9,274911075,13.958774658760532,14.243937329041474,14.052316945049965,2.28,5.98,9.51,16.53,50.62,0.05,408.1
All,1,Large central metro (1),driving_time,10,22671,68,0,98876565,8.015463808389573,8.501857110428544,6.637954235404258,1.78,4.4,6.79,9.88,21.99,0.05,218.49
All,2,Large fringe metro (2),driving_time,10,16595,368,0,79764236,15.096186803253993,15.22341564582904,12.278377591008528,3.21,7.395,11.24,18.5,47.93299999999999,0.41,214.39
All,3,Medium metro (3),driving_time,10,14971,372,1,66957575,17.228961923847695,17.42162922955319,15.530419798535126,2.89,7.31,12.35,22.13,57.04099999999998,0.31,316.52
All,4,Small metro (4),driving_time,10,6653,358,8,29312699,24.02811136192626,23.692651730906498,22.133019126201866,3.53,9.16,17.4,32.18,79.27799999999999,0.1,408.1
All,56,Rural (5-6),driving_time,10,12166,1976,35,46093332,59.161548924243675,55.137348986467615,44.77519649615427,7.4575000000000005,33.74,50.58,73.19,163.4875,0.79,966.1
All,5,Micropolitan (5),driving_time,10,6654,641,18,27214881,47.87182338758288,46.58772320060855,33.91105959764406,5.82,26.85,40.754999999999995,60.9,134.87375,0.79,540.15
All,6,Non-core (6),driving_time,10,5512,1335,17,18878451,72.79551046405824,67.47104678933759,51.93947301634583,21.810499999999998,45.185,61.78,84.96000000000001,186.6309999999998,2.63,966.1
All,99,All,driving_time,11,73056,3142,44,321004407,22.294076453185777,20.90074230356492,28.81318833265311,2.51,6.83,11.66,27.03,96.63449999999983,0.05,966.1
All,1234,Urban (1-4),driving_time,11,60890,1166,9,274911075,14.47753305629014,14.796108864507394,14.520407300869444,2.37,6.2,9.84,17.14,52.76,0.05,408.1
All,1,Large central metro (1),driving_time,11,22671,68,0,98876565,8.239853116315999,8.740017484223891,6.721726522079086,1.85,4.55,7,10.155000000000001,22.3725,0.05,218.49
All,2,Large fringe metro (2),driving_time,11,16595,368,0,79764236,15.53524615848147,15.663960236264282,12.568130663734621,3.3585000000000003,7.68,11.62,19.03,48.83149999999999,0.41,216.63
All,3,Medium metro (3),driving_time,11,14971,372,1,66957575,17.894795591182366,18.20689856255995,16.062835445802286,3.05,7.56,12.77,23.02,59.01775,0.38,340.49
All,4,Small metro (4),driving_time,11,6653,358,8,29312699,25.418883370955605,25.07565837754786,22.812021129097104,3.81,9.69,18.77,34.15,84.29,0.41,408.1
All,56,Rural (5-6),driving_time,11,12166,1976,35,46093332,61.52241529964554,57.41453911774274,45.751014239323375,8.01,35.68,52.35,75.6,167.5225,1.05,966.1
All,5,Micropolitan (5),driving_time,11,6654,641,18,27214881,50.6088456901748,49.23646389295407,35.53451326443299,6.32625,29.28,43.11,63.3325,143.77125,1.05,540.15
All,6,Non-core (6),driving_time,11,5512,1335,17,18878451,74.70211464968153,69.21223774901057,52.71489032936328,23.677,46.375,63.36,87.09,189.2665,2.63,966.1
All,99,All,driving_time,12,73056,3142,44,321004407,23.063736372103218,21.628803089006333,29.571813452913965,2.61,7.06,12.07,28.09,99.90724999999992,0.05,966.1
All,1234,Urban (1-4),driving_time,12,60890,1166,9,274911075,14.973800528900641,15.298817581249587,15.017176461649365,2.46,6.4,10.17,17.7,54.88,0.05,408.1
All,1,Large central metro (1),driving_time,12,22671,68,0,98876565,8.459770190992899,8.975965130463422,6.8350892993551,1.92,4.72,7.18,10.43,22.902499999999996,0.05,218.49
All,2,Large fringe metro (2),driving_time,12,16595,368,0,79764236,15.960928592949683,16.09672101504238,12.77209414696833,3.4885,7.94,12.01,19.55,49.877499999999976,0.41,216.63
All,3,Medium metro (3),driving_time,12,14971,372,1,66957575,18.642066132264528,18.95612708076719,16.92641317102248,3.16,7.85,13.1,24.065,62.64549999999999,0.38,349.47
All,4,Small metro (4),driving_time,12,6653,358,8,29312699,26.468797592174568,26.10562740414108,23.332584622400134,3.99,10.29,19.79,35.21,87.87799999999999,0.41,408.1
All,56,Rural (5-6),driving_time,12,12166,1976,35,46093332,63.66413073942791,59.490503873223076,46.41920812579927,9.5725,37.075,53.9,77.695,173.86,1.05,966.1
